"spp","x","y","dbh","ht"
"Ii",97.28,191.77,24.59,17.5
"Mm",89.69,181.34,17.01,14.89
"Dd",94.25,181.75,11.51,11.09
"Ii",94.71,187.46,23.31,17.51
"Hh",96.84,185.55,16.31,15.29
"Gg",99.23,187.31,15.62,14.43
"Mm",96.28,184.17,11.55,11.8
"Ll",97.16,181.16,16.83,14.08
"Ff",84.34,162.26,16.47,14.8
"Aa",81.81,201.55,10.7,9.96
"Jj",79.58,203.91,14.87,14.63
"Kk",84.58,202.42,19.58,17.96
"Ii",83.41,201,35.71,17.22
"Bb",83.57,205.54,29.96,18.03
"Ll",83.86,207.75,51.61,21.94
"Jj",87.82,200.43,15.49,14.28
"Bb",81.26,211.85,28.35,19.12
"Aa",79.2,210.97,19.72,16.35
"Dd",81.7,214.74,15.75,13.65
"Nn",83.37,213.48,15.84,14.46
"Mm",83.2,219.67,15.2,13.3
"Dd",83.41,218.52,23.9,17.54
"Aa",86.49,216.2,14.79,13.96
"Cc",89.12,219.23,10.86,11.67
"Ll",91.36,214.43,18.3,15.39
"Gg",93.7,214.25,11.42,11.17
"Cc",89.78,219.02,14.01,13.5
"Gg",92.1,219.27,18.47,17.51
"Ff",91.93,217.9,13.76,13.99
"Bb",94.39,219.49,15.36,14.65
"Cc",95.1,219.45,10.08,10.13
"Kk",96.74,214.68,16.71,14.39
"Hh",96.71,215.07,11.4,11.44
"Cc",94.87,214.58,11.79,12.37
"Cc",98.92,211.84,16.53,15.36
"Hh",91.56,201.81,16.11,14.71
"Bb",94.27,200.26,17.04,14.89
"Aa",90.2,206.84,14.98,13.88
"Bb",81.28,220.85,51.67,21.93
"Jj",82.43,221.11,12.6,12.23
"Kk",84.66,221.13,19.64,16.59
"Ll",81.94,227.12,16.13,14.08
"Gg",84.53,227.31,22.76,17.93
"Ee",82.72,226.23,19.59,15.81
"Ll",88.84,221.83,29.57,17
"Ii",87.24,222.88,19.8,15.05
"Ff",80,234.35,45.53,19.93
"Mm",81.98,240.08,12.91,11.89
"Cc",84.74,240.23,19.83,15.26
"Dd",84.53,238.25,17.04,14.44
"Bb",82.29,236.83,12.83,12.33
"Ii",89.16,234.7,14.4,12.23
"Hh",91.25,231.18,26.09,17.18
"Hh",89.81,235.26,63.56,21.74
"Cc",92.4,237.78,13.86,13.53
"Aa",96.56,231.68,30.31,18.45
"Kk",97.27,232.35,11.85,12.26
"Bb",95.08,221.62,21.43,15.85
"Cc",96.88,227.88,22.77,16.73
"Jj",96.43,229.24,29.68,18.23
"Kk",97.93,226.58,14.54,13.46
"Dd",96.49,226.81,11.94,11.35
"Ff",96.06,221.37,25.75,17.27
"Oo",98.47,224.33,21.74,17.79
"Kk",97.51,220.32,11.36,11.09
"Aa",81.41,247.69,16.78,14.34
"Aa",84.48,246.54,28.77,17.28
"Ee",85.2,246.25,12.54,12.28
"Ee",88.72,247.19,32.04,17.6
"Gg",88.9,241.19,12.63,12.72
"Kk",80.98,254.79,19.15,16.5
"Ll",83.83,251.42,22.15,17.6
"Kk",86.3,254.93,21.01,16.76
"Oo",86.37,256.15,17.69,15.21
"Ee",85.97,257.59,23.78,17.1
"Ll",88.29,250.94,20.9,16.99
"Gg",91.92,250.16,12.18,12.37
"Cc",92.11,255.6,44.22,22.93
"Aa",95.89,256.95,14.05,12.88
"Ii",96.34,256.78,10.9,11.98
"Ll",96.05,257.75,38.3,21.99
"Mm",99.72,258.12,17.83,15.58
"Dd",95.55,251.5,13.94,13.04
"Jj",91.49,243.26,34.2,20.51
"Aa",95.13,246.3,17.08,15.05
"Ff",95.78,240.18,17.69,14.62
"Gg",95.55,244.2,23.32,17.67
"Dd",99.43,244.08,19.72,17.14
"Hh",99.62,242.76,13.11,12.21
"Cc",82.16,262.63,34.67,19.21
"Bb",80.06,267.17,12.66,11.51
"Mm",83.08,268.27,26.14,17.6
"Nn",85.09,264.78,10.43,10.88
"Cc",86.1,268.2,30.82,18.56
"Ii",88.59,267.7,22.27,16.16
"Aa",88.37,266.52,14.47,13.41
"Mm",87.74,265.78,15.04,13.82
"Hh",88.14,261.57,20.55,16.88
"Hh",81.92,273.58,16.75,14.04
"Ee",88.2,278.56,33.14,18.52
"Bb",87.14,274.42,14.13,11.96
"Nn",90.55,269.54,25.71,17.86
"Ff",92.23,271.78,13,13.21
"Pp",91.53,271.54,13.87,14.11
"Hh",91.15,271.37,12.7,12.37
"Cc",90.56,273.09,23.61,18.42
"Ee",94.35,277.35,11.43,11.45
"Ff",96.04,273.8,11.28,11.67
"Jj",99.02,275.05,16.9,16.02
"Nn",94.8,265.6,18.8,16.73
"Bb",98.19,268.57,29.01,21.05
"Oo",96.69,261.34,26.21,17.91
"Kk",81.43,282.8,26.52,17.4
"Gg",82.33,281.81,22.66,18.76
"Ii",82.8,281.07,15.34,14.9
"Bb",81.91,290.3,32.38,19.5
"Bb",86.22,294.67,23.04,16.19
"Ee",86.59,298.15,14.28,13.68
"Aa",90.2,299.11,17.55,16.18
"Ll",87.43,294.63,27.75,18.17
"Oo",92.03,292.38,35.83,19.44
"Jj",93.49,297.29,16.47,15.89
"Gg",93.35,297.3,14.85,14.03
"Kk",96.11,296.86,19.64,16.23
"Nn",99.29,295.6,12.63,13.27
"Oo",91.59,281.76,13.79,13.36
"Nn",91.54,286.43,50.48,22.85
"Dd",97.04,285.1,13.15,13.84
"Ii",96.08,286.37,12.38,12.45
"Aa",95.27,288.81,15.73,14.02
"Ll",97.23,284.59,25.31,19.92
"Aa",82.79,302.22,11.23,10.7
"Ii",84.37,302.64,13.07,11.99
"Cc",84.22,302.61,10.39,11.35
"Jj",80.34,306.26,19.06,14.88
"Ii",87,308.03,12.65,12.41
"Bb",89.68,309.06,11.47,11.83
"Dd",89.69,307.04,17.31,14.48
"Ee",85.64,303.33,19.68,16.86
"Cc",86.9,304.5,16.61,15.62
"Aa",89.42,300.49,19.31,15.21
"Aa",81.5,311.23,13.52,11.98
"Aa",84.45,315.5,10.8,11.48
"Mm",86.78,315.6,11.64,12.22
"Mm",89.85,318.2,10.68,11.25
"Ii",86.7,311.04,18.8,16.16
"Bb",90.08,311.17,44.41,20.13
"Ll",90.78,314.39,30.19,19.79
"Ff",93.37,313.01,11,12.04
"Kk",92.18,320.03,30.56,17.83
"Dd",89.93,316.99,12.34,11.88
"Cc",95.34,314.78,14.28,14.17
"Bb",96.21,318.67,12.62,11.96
"Dd",95.16,319.21,10.42,11.29
"Mm",98.26,319.73,11.75,11.71
"Ll",98.79,314.76,15.6,13.61
"Oo",90.25,301.55,19.72,15.69
"Ll",94.18,303.33,10.74,11.3
"Cc",94.77,304.87,24.21,19.4
"Dd",93.77,302.79,21.72,16.38
"Ff",90.99,306.96,21.23,17.57
"Jj",96,308.89,16.56,14.43
"Gg",96.11,310.2,25.25,18.78
"Cc",95.87,301.88,11.21,10.84
"Ff",94.65,302.75,46.48,21.81
"Hh",98.84,300.32,29.76,18.92
"Kk",80.6,322.6,29.41,19.41
"Ii",84.31,323.88,21.16,16.21
"Aa",81.26,326.31,17.45,14.76
"Ee",87.88,326.64,13.04,12.62
"Rr",87.81,329.31,30.05,20.82
"Ff",89.07,330.13,18.93,15.13
"Mm",86.32,319.96,27.65,16.17
"Jj",87.41,323.92,17.54,15.07
"Aa",82.36,331.35,22.34,17.01
"Aa",80.37,339.88,21.49,17.51
"Aa",83.84,338.21,20.03,16.11
"Oo",88.63,339.9,27.68,19.62
"Aa",88.32,334.94,18.99,17.25
"Ll",90.16,330.88,19.25,14.77
"Bb",91.52,331.71,20.29,17.26
"Aa",91,333.53,27.33,18.56
"Ii",94.38,332.76,18.5,15.95
"Ee",91.89,339.36,23.25,16.82
"Ll",97.5,340.1,31.45,19.29
"Hh",97.72,336.6,25.44,18.53
"Ee",97.81,336.2,16.27,13.92
"Jj",97.6,335.53,16.36,16.06
"Ee",95.56,330.19,32.82,18.7
"Bb",91.98,321.91,14.95,12.98
"Hh",93.88,324.06,23.54,19.83
"Ii",92.21,329.09,20.75,15.14
"Hh",81.16,342.63,31.74,17.28
"Gg",83.87,342.5,11.29,11.54
"Ee",84.11,340.8,24.65,18.08
"Oo",84.02,349.07,24.8,16.87
"Cc",84.9,348.11,10.95,11.17
"Ee",85.81,348.71,31.51,19.5
"Cc",85.97,350.25,13.03,13.26
"Mm",87.53,346.91,25.27,17.8
"Aa",86.36,340.66,29.11,19.26
"Ee",82.03,350.72,31.71,17.69
"Nn",82.44,351.41,20.46,15.97
"Cc",88.07,360.03,17.83,15.6
"Dd",87.78,358.87,10.57,12.33
"Kk",85.76,353.48,10.77,11.47
"Ll",91.33,350.93,14.38,13.11
"Hh",95.03,353.21,15.42,14.05
"Ll",94.37,355.05,13.04,11.25
"Bb",91.67,355.29,44.54,23.18
"Cc",91.04,355.59,14.37,13.07
"Ll",92.16,360.2,20.65,15.2
"Gg",95.63,358.88,14.95,13.48
"Kk",97.14,358.47,11.08,11.71
"Tt",99.46,352.49,37.57,20.61
"Dd",97.75,354.4,20.72,16.29
"Dd",99.5,352.83,22.53,16.77
"Hh",97.91,350.64,28.57,16.93
"Gg",94.4,345.3,19.34,17.52
"Mm",90.1,345.98,14.19,13.81
"Ee",90.47,349.38,13.35,12.71
"Jj",93.76,349.86,10.23,9.85
"Rr",94,348.64,34.36,20.25
"Dd",98.6,346.44,12.22,13.41
"Gg",100.24,347.09,29.48,18.43
"Cc",96.96,344.83,10.96,11.57
"Cc",80.37,363.39,14.18,12.83
"Dd",83.77,362.58,17.96,15.73
"Pp",82.84,362.31,16.17,13.16
"Jj",85.3,361.97,22.89,15.06
"Dd",81.03,365.99,12.32,11.42
"Bb",82.08,368.54,10.89,12.27
"Ee",84.17,368.07,10.23,11.12
"Ee",85.82,366.13,15.69,14.23
"Jj",86.11,365.98,13.21,12.83
"Jj",85.85,367.93,18.23,15.35
"Ee",87.84,369.99,12.65,13.32
"Ff",86.56,362.87,25.05,17.23
"Kk",88.74,364.26,13.21,12.67
"Dd",82.17,375.04,17.33,15.16
"Aa",82.95,374.78,37.87,20.64
"Dd",83.49,374.51,62.61,24.19
"Ee",84.09,373.83,16.13,13.48
"Cc",80.86,380.59,29.05,18.13
"Bb",83.05,379.3,18.1,15.76
"Ff",89.88,377.22,13.99,13.13
"Ll",86.43,372.27,19.04,16.32
"Ee",88.81,373.91,11.34,11.06
"Kk",92.23,371.8,35.24,19.27
"Cc",94.32,377.25,32.14,18.16
"Dd",95.61,379.34,48.39,20.52
"Nn",99.54,377.43,20.15,16.13
"Ii",98.79,375.37,40.05,20.94
"Dd",97.37,374.6,32.36,19.48
"Cc",97.06,374.26,18.18,16.96
"Dd",95.34,371.15,16.4,14.39
"Dd",91.42,361.84,27.38,17.78
"Cc",93.14,365.04,22.31,16.71
"Hh",92.52,366.73,20.5,17.18
"Oo",93.51,365.82,18.24,14.92
"Ii",95.13,366.1,10.73,12.26
"Ee",97.93,368.43,13.88,12
"Ff",97.89,365.34,10.43,10.56
"Hh",98.06,365.6,13.7,13.12
"Ii",96.69,365.48,20.09,16.25
"Dd",98.01,365.38,45.78,21.75
"Ff",97.36,364.53,12.85,13.47
"Kk",99.46,361.68,14.28,14.71
"Kk",82.67,381.29,14.85,15.08
"Ll",83.25,383.29,30.81,21.75
"Ll",84.69,382.49,18.55,16.02
"Mm",83.31,387.59,20.26,16.21
"Aa",86.22,380.89,27.33,18.04
"Ff",88.94,384.73,45.84,21.42
"Dd",82.88,391.22,21.42,16.1
"Bb",88.19,396.01,73.82,23.48
"Mm",88.29,394.39,41.54,20.65
"Ff",91.61,397.99,14.65,13.13
"Ff",93.95,383.46,15.39,14.33
"Ii",90.32,388.26,22.85,18.86
"Oo",92.23,387.44,15.17,14.11
"Bb",96.32,388.65,57.51,20.63
"Jj",96.27,390.19,12.74,12.32
"Ff",98.81,387.26,11.22,11.45
"Hh",99.84,381.56,16.75,15.76
"Hh",83.6,400.16,11.81,12.79
"Kk",82.74,408.22,19.53,15.78
"Dd",87.4,403.44,31.72,20.38
"Gg",89.18,403.42,16.43,14.36
"Ii",89.65,403.58,12.36,12.2
"Kk",81.67,417.59,25.67,18.57
"Aa",92.62,417.28,16.19,14.31
"Nn",99.36,403.46,22.78,17.13
"Gg",80.69,422.48,34.66,19.08
"Ee",80.54,424.41,30.55,17.88
"Oo",79.9,430.07,17.33,14.71
"Ii",88.65,439.36,18.04,15.3
"Ff",87.26,430.57,11.83,12.72
"Aa",93.14,436.49,26.87,17.15
"Jj",93.09,436.61,12.33,13.28
"Ll",91.56,438.05,61.64,23.35
"Dd",94.31,438.93,11.81,11.79
"Kk",96.58,438.97,10.16,11.48
"Dd",97.62,428.53,12.29,11.89
"Bb",97.59,428.58,16.07,14.27
"Ee",96.28,425.73,19.22,15.62
"Hh",99.23,423.54,43.03,19.84
"Mm",90.37,446.96,28.04,19.09
"Dd",82.61,452.93,28.22,16.93
"Cc",81.34,456.2,12.77,13.12
"Dd",83.58,458.78,20.1,16.54
"Aa",84.34,457.72,11.65,11.81
"Ee",86.22,455.69,21.31,17.79
"Mm",87.08,455.53,40.89,19.18
"Rr",89.06,452.76,18.17,17.71
"Hh",88.88,451.83,18.29,16.72
"Bb",92.95,455.18,11.37,10.87
"Gg",94.17,452.28,27.78,18.57
"Ee",91.13,455.45,10.84,10.65
"Ll",93.13,457.37,22.08,15.94
"Jj",94.57,460.55,11.93,13.06
"Aa",95.03,458.95,20.95,15.5
"Jj",98.07,455.41,10.01,10.15
"Cc",96.35,451.95,10.41,9.79
"Hh",96.59,451.98,18.12,16.05
"Jj",95.84,453.72,25.82,19.04
"Cc",92.87,444.44,11.74,12.2
"Ii",90.75,446.59,13.83,13.53
"Ff",94.34,444.78,16.89,14.31
"Dd",96.22,446.73,21.15,15.77
"Nn",98.45,449.17,32.87,18.35
"Bb",100.96,449.04,15.76,13.62
"Nn",97.09,440.88,19.05,15.22
"Bb",99.39,440.33,45.41,20.71
"Ff",79.39,462.65,10.99,11.48
"Jj",80.35,463.58,11.44,12.28
"Aa",82.58,459.32,31.96,18.41
"Cc",80.64,469.04,12.73,12.23
"Dd",83.06,469.15,11.78,12.03
"Bb",83.76,469.26,13.96,14.34
"Hh",83.1,466.67,27.46,19.25
"Ll",85.8,464.32,21.95,16.82
"Dd",87.44,469.24,11.24,12.14
"Ii",89.42,469.51,12.95,12.6
"Ff",85.18,463.41,13.95,13.58
"Kk",85.15,471.11,34.46,17.85
"Ff",80.08,475.85,10.5,10.23
"Bb",84.22,476.69,15.1,13.95
"Oo",88.42,480.22,24.49,17
"Dd",88.59,476.15,43.74,20.74
"Bb",87.64,474.29,15.64,13.76
"Cc",85.99,474.37,19.64,15.1
"Ll",88.43,469.9,13.78,13.65
"Cc",91.58,472.83,68.54,21.56
"Bb",94.81,470.31,12.93,12.1
"Hh",91.49,476.27,23.21,17.87
"Hh",94.6,475.62,11.12,10.72
"Gg",95.01,476.2,18.4,13.94
"Gg",94.98,477.11,13.28,12.02
"Kk",95.12,478.77,10.48,11.15
"Bb",97.65,478.94,22.61,16.42
"Gg",98.45,477.78,14.39,14.49
"Ii",95.07,473.56,16.81,14.49
"Gg",99.78,474.1,12.25,13.47
"Gg",99.22,470.08,10.02,10.72
"Gg",90.99,463.74,14.75,14.58
"Aa",94.95,463.2,17.16,16.13
"Gg",95.29,460.53,30.01,19.58
"Nn",90.12,468.69,22.85,17.95
"Bb",94.02,469.11,12.35,12.88
"Jj",99.14,468.76,22.19,17.31
"Kk",98.08,468.07,17.49,14.41
"Kk",95.49,461.82,13.23,12.89
"Gg",96.37,462.57,13.1,12.31
"Dd",95.48,463.3,12.3,12.63
"Ee",99.06,461.83,24.33,17.38
"Cc",98.21,459.83,12.58,12.5
"Ii",82.42,483.93,21.92,16.12
"Ff",80.61,489.13,21.57,17.92
"Bb",84.39,488.15,13.59,11.96
"Bb",83.04,489.05,32.58,16.94
"Ii",84.92,488.9,16.8,14.14
"Ii",88.24,488.38,15.15,13.55
"Dd",88.96,485.13,14.43,13.96
"Cc",85.35,480.9,16.67,15.75
"Ee",80.65,492.35,16.32,14.38
"Hh",80.6,492.02,20.71,16.06
"Ll",81.97,492.7,12.95,12.3
"Jj",82.11,492.61,15.36,14.63
"Dd",84.08,493.14,24.86,18.42
"Jj",82.48,495.77,13.79,14.45
"Ll",80.15,499.54,10.7,11.59
"Jj",85.93,494.4,35.09,18.81
"Ee",89.11,494.63,13.23,11.08
"Bb",91.08,491.72,15.98,15.4
"Aa",92.69,494.47,20.28,16.4
"Cc",92.75,498.94,13.82,13.3
"Mm",100.19,488.91,11.81,12.36
"Ee",98.9,490.58,16.36,13.79
"Hh",90.78,480.95,25.55,16.68
"Ee",91.68,481.05,11.23,11.3
"Kk",92.95,489.89,20.63,16.51
"Jj",94.96,485.09,10.85,12
"Cc",96.37,489.15,19.58,15.72
"Ee",98.84,487.3,21.63,16.18
"Ll",98.53,485.88,23.61,18.46
"Jj",96.39,480.29,16.76,16.39
"Kk",96.84,483.42,16.67,15.82
"Oo",98.27,483.45,18.53,15.11
"Nn",87.82,174.2,11.32,10.8
"Cc",100.68,1.94,43.43,20.74
"Mm",105.63,0.27,22.77,17.07
"Bb",99.32,9.87,88.22,23.41
"Dd",100.28,15.53,12.95,12.52
"Oo",104.44,19.08,17.35,15.1
"Kk",104.65,16.29,106.82,20.8
"Gg",107.65,17.97,41.11,19.61
"Dd",108.72,19.05,10.01,10.96
"Bb",106.5,10.96,31.87,19.73
"Nn",111.48,13.13,11.85,12.79
"Mm",116.84,16.21,11.88,11.64
"Kk",118.15,14.18,10.07,11.84
"Ee",112.2,9.58,12.41,13.25
"Ii",118.01,6.42,25.45,17.09
"Gg",116.28,3.57,20.11,16.51
"Ii",118.64,1.49,36.99,22.07
"Bb",101.53,19.92,17.45,14.25
"Ee",100.37,21.96,41.73,21.93
"Ff",100.86,29.13,66.93,20.7
"Aa",107.11,29.45,10.55,11.57
"Ff",101.69,36.74,12.6,12.88
"Ii",104.63,39.55,61.26,24.24
"Kk",109,31.85,37.06,17.87
"Ee",115.4,37.23,19.04,16.23
"Oo",118.78,40.6,67.73,20.38
"Hh",118.64,30.36,35.83,20.43
"Oo",111.52,20.18,10.05,10.87
"Jj",109.91,24.27,17.8,16.6
"Jj",115.03,28.74,17.88,15.36
"Pp",115.37,29.01,25.49,17.3
"Ff",117.37,25.46,38.6,19.72
"Dd",114.44,22.06,43.59,21.54
"Oo",101.52,41.25,13.58,12.95
"Dd",109.08,44.7,12.05,10.97
"Bb",110.81,43.72,15.81,13.49
"Cc",99.91,56.41,38.63,20.2
"Cc",100.73,58.95,10.45,11.04
"Pp",102,59.26,20.22,17.55
"Cc",105.35,57.8,11.92,13.14
"Gg",109.91,55.27,20.43,16.34
"Ii",110.78,59.62,40.71,20.17
"Jj",115.38,52.4,17.7,15.77
"Hh",115.38,54.66,99.1,26.16
"Kk",118.96,51.72,41.06,23
"Aa",110.54,40.46,12.05,11.16
"Aa",112.49,42.59,18.95,15.03
"Ff",116.31,45.82,14.27,11.67
"Cc",104.4,63.8,23.22,17.27
"Kk",100.13,68.24,14.8,14.33
"Nn",103.36,67.36,12.47,12.65
"Nn",109.3,65.66,10.67,11.56
"Nn",104.97,60.39,16.57,14.24
"Mm",107.5,60.57,10.88,10.81
"Bb",104.77,64.07,13.52,12.39
"Cc",107.23,76.18,15.76,13.98
"Cc",108.89,73.37,14.17,12.74
"Nn",112.05,71.32,40.13,20.28
"Ff",113.7,73.77,26.33,16.67
"Aa",111.26,77.7,16.95,14.61
"Dd",114.92,77.05,18.85,17.01
"Gg",117.41,77.65,26.65,18.55
"Aa",117.7,74.27,21.35,16.11
"Ee",120.62,72.33,13.46,13.14
"Aa",112.44,60.71,15.65,14
"Gg",113.72,67.48,16.74,16.69
"Ff",116.99,66.74,62.11,25.21
"Bb",117.36,69.52,29.43,19.62
"Jj",102.4,81.02,22.82,16.52
"Aa",104.15,89.06,25.43,16.85
"Jj",110.15,83.56,11,11.71
"Dd",102.27,93.02,17.7,14.76
"Kk",102.45,94.83,29.95,18.61
"Gg",107.36,95.95,20.3,17.58
"Bb",108.41,91.89,28.05,17.99
"Aa",112.09,91.89,15.77,13.1
"Dd",112.18,91.43,12.31,12.99
"Ee",114.06,94.91,10.32,11.75
"Hh",112.79,96.54,11.75,11.83
"Cc",118.95,98.85,27.31,20.19
"Cc",117.57,93.94,51.12,22.82
"Gg",114.28,83.43,54.89,19.94
"Ff",116.5,90.52,33.36,19.51
"Aa",117.4,82.25,19.42,16.78
"Aa",118.58,82.24,16.16,15.87
"Kk",101.35,105.41,26.25,18.68
"Kk",99.91,106.52,13.61,12.65
"Ll",101.97,106.83,27.84,20
"Ff",103.59,109.46,15.49,14.9
"Cc",106.98,107.82,15.06,14.74
"Ee",107.14,103.4,20.7,14.98
"Ee",109.59,101.45,15.25,14.54
"Oo",109.38,101.61,53.73,22.21
"Kk",102.88,115.54,12.52,12.21
"Ii",106.81,112.64,14.16,14.06
"Kk",109.45,113.66,36.21,18.63
"Ll",109.84,114.41,13.6,14.48
"Dd",112.9,113.09,15.3,13.13
"Dd",110.74,118.77,11.01,11.59
"Oo",110.79,120.16,10.41,10.68
"Kk",110.88,119.62,21.18,16.29
"Cc",118.03,113.93,31.59,18.89
"Bb",119.08,113.61,15.78,13.12
"Gg",118.87,110.6,16.07,13.84
"Oo",115.04,107.43,10.33,11.11
"Gg",115.35,105.69,19.74,16.89
"Hh",119.3,108.97,12.29,13.06
"Bb",119.71,108.17,17.62,14.98
"Gg",119.85,105.78,13.89,13.06
"Bb",116.83,100.63,13.43,14.35
"Hh",100.92,122.71,14.57,13.74
"Hh",102.18,124.87,48.7,21.76
"Aa",103.37,129.12,13.36,13.37
"Jj",106.22,126.5,11.66,12.19
"Ff",104.22,130.07,17.97,16.36
"Ii",108.54,124.22,11.79,12.37
"Aa",101.94,133.65,18.52,16.66
"Nn",100.29,138.76,19.78,15.45
"Ee",107.85,137.15,24.34,17.85
"Hh",105.56,133.18,30.87,18.02
"Bb",107.04,130.88,15.97,14.66
"Aa",114.92,131.81,18.66,15.06
"Kk",109.97,139.34,38.56,18.74
"Gg",117.14,138.13,14.72,14.1
"Ff",118.87,137.2,13.24,12.12
"Gg",117.63,140.34,25.41,18.51
"Dd",117.74,136.45,13.17,12.86
"Hh",110.84,125.26,24.85,17.31
"Ii",110.8,129.23,56.85,21.27
"Dd",110.66,128.17,16.31,14.44
"Nn",119.43,128.26,29.74,17.93
"Hh",118.96,122.17,18.64,15.4
"Mm",101.66,140.41,16.83,14.39
"Ff",101.29,142.21,27.17,17.1
"Ff",100.33,145.76,33.93,20.14
"Bb",100.82,149.34,18.51,16.44
"Aa",104.52,148.53,10.6,13.15
"Cc",109.28,149.61,18.74,14.91
"Hh",108.95,149.59,10.66,12.59
"Bb",106.42,144.27,12.43,12
"Bb",105.61,145.02,30.55,18.04
"Bb",108.84,144.21,28.4,19.18
"Gg",109.85,141.75,28.59,17.51
"Dd",100.55,154.06,28.25,19.67
"Gg",104.57,152.28,22.2,17.08
"Mm",103.48,159.66,13.08,12.8
"Cc",105.05,157.41,17.24,13.18
"Jj",105.71,158.17,18.53,14.08
"Jj",108.46,157.98,29.2,19.78
"Ii",107.78,158.83,18.81,14.88
"Kk",109.67,157.71,13.58,14.71
"Ff",108.75,157.99,19.31,15.62
"Jj",110.98,155.27,13.85,13.26
"Ee",111.87,153.29,16.02,14.54
"Jj",111.56,154.31,13.54,14.11
"Oo",112.29,158.2,15.94,14.46
"Aa",117.74,157.43,18.97,17.56
"Aa",117.62,157.29,18,15.17
"Jj",115.98,154.36,16.08,14
"Gg",115.98,153.78,26.4,18.25
"Gg",116.67,153.12,13.8,14.5
"Hh",116.19,151.37,11.92,11.59
"Kk",114.67,150.25,11.36,11.69
"Kk",113.88,142.82,20.81,17.72
"Ii",114.86,145.37,23.34,17.41
"Ll",114.51,147.45,36.03,21.05
"Aa",116.84,148.4,17.44,15.15
"Cc",119.92,149.49,16.2,16.12
"Dd",116.57,145.19,20.79,17.69
"Nn",101.57,160.96,10.06,11.14
"Ii",101.66,161.88,14.47,12.95
"Gg",101.31,162.43,10.81,10.26
"Bb",102.2,165.71,23.82,16.62
"Ff",103.85,165.81,19.01,14.59
"Ee",100.8,166.15,11.43,11.36
"Hh",101.93,167.91,16.97,14.66
"Hh",102.69,169.33,12.42,11.62
"Jj",103.91,169.73,11.36,11.55
"Gg",104.97,166.48,10.44,11.08
"Bb",109.49,167.53,18.75,18.09
"Mm",106.58,163.6,15.68,15.11
"Dd",107.27,163.96,29.8,18.5
"Kk",109.26,163.88,12.16,12
"Dd",110.17,161.39,19.49,15.77
"Oo",103.69,173.85,24.49,17.66
"Bb",102.09,174.56,16.13,14.7
"Nn",103.08,174.68,10.87,12.8
"Kk",103.98,172.68,11.52,12.23
"Cc",100.77,180.73,22.67,18.34
"Dd",101.92,179.68,18.8,15.75
"Aa",106.8,176.34,19.19,16.27
"Cc",105.91,179.18,10.36,11.35
"Bb",106.16,180.51,21.64,18.21
"Bb",107.64,181.11,10.76,11.4
"Qq",109.2,177.86,14.83,13.23
"Nn",105.95,170.94,12.43,11.61
"Dd",106.82,172.95,12.89,11.83
"Aa",114.78,174.79,15.62,13.67
"Gg",114.16,173.31,19.97,16.13
"Aa",110.25,176.06,13.97,12.96
"Nn",111.65,176.86,11.58,10.89
"Bb",111.07,179.53,19.59,15.65
"Cc",113.33,177.87,16.53,15.4
"Dd",114.67,176.52,15.44,13.6
"Dd",117.2,177.44,13.78,12.76
"Cc",116.33,177.1,25.38,16.32
"Ll",119.6,176.63,10.45,10.89
"Ff",115.24,172.84,12.15,13.64
"Gg",115.85,174.17,24.79,17.84
"Hh",118.57,173.77,13.25,12.76
"Gg",111.1,160.34,19.92,16.42
"Ll",114.62,164.96,26.07,18.52
"Aa",116.18,165.63,14.35,14
"Cc",116.53,162.86,11.63,11.64
"Oo",115.15,162.11,15.67,14.2
"Jj",99.94,181.22,38.78,20.69
"Bb",104.74,183.29,14.52,13.13
"Cc",104.18,181.01,12.91,12.5
"Cc",102.17,188.43,50.17,21.81
"Nn",106.92,184.69,21.63,16.71
"Hh",109.21,190.15,10.54,11.3
"Cc",109.21,184.48,24.99,17.34
"Hh",101.07,196.03,22.7,16.26
"Ii",103.84,198.99,18.55,16.73
"Ee",106.52,197.81,24.22,17.17
"Kk",108.5,198.74,13.91,11.79
"Dd",106.3,193.87,20.07,17.06
"Qq",112.25,190.91,10.87,10.84
"Gg",112.5,192.78,21.41,17.08
"Hh",112.08,198.69,12.42,13.43
"Jj",114.31,194.85,12.49,12.38
"Ll",117.14,197.28,22.26,15.37
"Bb",117.24,190.9,38.48,21.99
"Ii",116.06,190.15,24.61,18.33
"Aa",109.52,186,20.18,16.34
"Gg",112.53,189.75,15.99,15
"Dd",114.44,186.24,34.32,19.05
"Hh",116.25,186.89,13.54,13.44
"Gg",119.7,185.77,15.91,14.09
"Mm",117.3,181.04,29.65,18.82
"Aa",117.47,181.14,17.35,15.13
"Aa",101.91,209.81,12.51,12.69
"Kk",108.07,205.67,12.01,11.99
"Ll",107.13,205.44,19.83,16.52
"Nn",109.07,205.39,11.64,11.37
"Jj",102.28,212.24,18.44,15.3
"Ff",101.8,215.12,19.63,16.52
"Gg",103.6,213.48,16.62,13.52
"Gg",104.3,212.17,17.57,14.57
"Aa",101.15,218.2,10.45,10.45
"Ss",102.87,218.53,28.17,16.67
"Cc",103.81,218.65,17.07,15.14
"Cc",108.2,216.42,10.07,10.37
"Qq",109.35,215.93,17.82,15.52
"Cc",104.87,211.96,23.12,18.75
"Hh",105.04,214.59,14.31,13.59
"Hh",108.86,211.04,12.94,13.55
"Mm",109.09,210.79,12.16,12.15
"Mm",109.02,211.65,14.96,14.15
